'1989-01-02', 635, 'Alice', 'Zimmerman'
'1991-10-08', 1406, 'Whitney', 'Xavier'
'1990-10-05', 1457, 'Victor', 'Walton'
'1996-06-07', 1476, 'Carl', 'Quentin'
'1996-06-09', 1477, 'Dennis', 'Quentin'
'1993-06-03', 1497, 'Alex', 'Tory'
'1996-07-01', 1599, 'Earl', 'Quentin'
'1995-03-04', 1591, 'Kelly', 'Randall'
'1996-07-04', 1546, 'Fawn', 'Quentin'
'1993-08-03', 1519, 'Kingston', 'Tory'
'1996-07-05', 1526, 'Gary', 'Quentin'
'1989-10-07', 1583, 'Winston', 'Zane'
'1993-07-03', 1527, 'Francis', 'Tory'
'1993-08-01', 1555, 'Jack', 'Tory'
'1993-08-06', 1521, 'Lily', 'Tory'
'1996-07-07', 1559, 'Horus', 'Quentin'
'1996-07-09', 1672, 'Ian', 'Quentin'
'1992-02-02', 1654, 'Elaine', 'Valadine'
'1996-08-01', 1691, 'Jack', 'Quentin'
'1993-09-06', 1712, 'Rachel', 'Tory'
'1992-02-08', 1735, 'Holly', 'Valadine'
'1994-04-06', 1745, 'Rachel', 'Smith'
'1989-08-08', 1801, 'Marsella', 'Zane'
'1996-08-06', 1804, 'Lily', 'Quentin'
'1996-08-05', 1849, 'Lucas', 'Quentin'
'1996-08-07', 1851, 'Mark', 'Quentin'
'1996-08-09', 1995, 'Nick', 'Quentin'
'1996-08-10', 1982, 'Nadine', 'Quentin'
'1996-09-01', 1917, 'Oren', 'Quentin'
'1996-09-02', 1988, 'Olivia', 'Quentin'
'1996-09-03', 1936, 'Patrick', 'Quentin'
'1992-03-09', 1977, 'Nick', 'Valadine'
'1993-10-06', 1904, 'Valerie', 'Tory'
'1996-09-06', 2014, 'Rachel', 'Quentin'
'1995-10-03', 2011, 'Ulrich', 'Remington'
'1994-02-10', 2058, 'Isabelle', 'Smith'
'1996-09-08', 2016, 'Rochelle', 'Quentin'
'1991-01-08', 2175, 'Caitlyn', 'Williams'
'1996-09-10', 2106, 'Sarah', 'Quentin'
'1996-10-03', 569, 'Ulrich', 'Quentin'
'1996-10-04', 625, 'Ulsana', 'Quentin'
'1994-09-03', 649, 'Patrick', 'Sortie'
'1992-09-09', 776, 'Stanley', 'Ursa'
'1994-09-06', 727, 'Rachel', 'Sortie'
'1991-07-01', 841, 'Earl', 'Xavier'
'1993-02-04', 971, 'Fawn', 'Tyrannis'
'1996-10-07', 1091, 'Winston', 'Quentin'
'1990-08-08', 1265, 'Marsella', 'Walton'
'1990-06-02', 1347, 'Alice', 'Walton'
'1996-10-09', 1437, 'Zachary', 'Quentin'
'1996-10-10', 1485, 'Zariah', 'Quentin'
'1997-01-01', 1424, 'Aaron', 'Perry'
'1991-10-10', 1487, 'Zariah', 'Xavier'
'1996-07-03', 1523, 'Francis', 'Quentin'
'1996-07-10', 1619, 'Isabelle', 'Quentin'
'1997-01-03', 1771, 'Alex', 'Perry'
'1993-10-03', 1829, 'Ulrich', 'Tory'
'1997-01-04', 1941, 'Ariel', 'Perry'
'1994-02-09', 2017, 'Ian', 'Smith'
'1997-01-05', 2074, 'Bryan', 'Perry'
'1994-10-06', 915, 'Valerie', 'Sortie'
'1997-01-06', 154, 'Brienne', 'Perry'
'1997-01-07', 144, 'Carl', 'Perry'
'1997-01-09', 163, 'Dennis', 'Perry'
'1997-01-10', 139, 'Deidre', 'Perry'
'1991-03-05', 261, 'Lucas', 'Williams'
'1997-02-02', 256, 'Elaine', 'Perry'
'1989-05-06', 231, 'Valerie', 'Zimmerman'
'1997-02-05', 394, 'Gary', 'Perry'
'1997-02-06', 326, 'Genevieve', 'Perry'
'1996-01-08', 393, 'Caitlyn', 'Rockswell'
'1989-06-08', 356, 'Caitlyn', 'Zane'
'1997-02-08', 336, 'Holly', 'Perry'
'1994-07-04', 455, 'Fawn', 'Sortie'
'1997-03-01', 461, 'Jack', 'Perry'
'1997-03-03', 488, 'Kingston', 'Perry'
'1994-06-10', 491, 'Deidre', 'Sortie'
'1996-10-02', 473, 'Tania', 'Quentin'
'1994-07-02', 422, 'Elaine', 'Sortie'
'1992-08-05', 506, 'Lucas', 'Ursa'
'1997-03-06', 526, 'Lily', 'Perry'
'1997-03-07', 583, 'Mark', 'Perry'
'1997-03-09', 732, 'Nick', 'Perry'
'1992-09-07', 758, 'Ronald', 'Ursa'
'1997-04-01', 769, 'Oren', 'Perry'
'1991-06-04', 723, 'Ariel', 'Xavier'
'1997-04-02', 835, 'Olivia', 'Perry'
'1997-04-04', 817, 'Priscilla', 'Perry'
'1993-01-04', 893, 'Ariel', 'Tyrannis'
'1997-04-05', 852, 'Randy', 'Perry'
'1997-04-06', 882, 'Rachel', 'Perry'
'1997-04-03', 886, 'Patrick', 'Perry'
'1995-08-03', 881, 'Kingston', 'Remington'
'1997-04-09', 916, 'Stanley', 'Perry'
'1990-07-04', 935, 'Fawn', 'Walton'
'1997-04-10', 1089, 'Sarah', 'Perry'
'1990-01-05', 1029, 'Bryan', 'Yates'
'1990-05-03', 1075, 'Ulrich', 'Yates'
'1993-03-03', 1043, 'Kingston', 'Tyrannis'
'1996-04-09', 1065, 'Stanley', 'Rockswell'
'1989-09-05', 1001, 'Randy', 'Zane'
'1997-05-03', 1027, 'Ulrich', 'Perry'
'1996-04-10', 1133, 'Sarah', 'Rockswell'
'1993-04-01', 1172, 'Oren', 'Tyrannis'
'1996-05-04', 1147, 'Ulsana', 'Rockswell'
'1989-10-08', 1267, 'Whitney', 'Zane'
'1997-05-05', 1383, 'Victor', 'Perry'
'1990-09-05', 1395, 'Randy', 'Walton'
'1997-05-06', 1454, 'Valerie', 'Perry'
'1997-05-07', 1433, 'Winston', 'Perry'
'1996-06-08', 1428, 'Caitlyn', 'Quentin'
'1996-05-10', 1463, 'Zariah', 'Rockswell'
'1997-05-09', 1402, 'Zachary', 'Perry'
'1993-06-07', 1475, 'Carl', 'Tory'
'1997-05-08', 1413, 'Whitney', 'Perry'
'1997-05-10', 1425, 'Zariah', 'Perry'
'1997-06-01', 1511, 'Aaron', 'Pearson'
'1997-06-02', 1516, 'Alice', 'Pearson'
'1990-08-06', 1548, 'Lily', 'Walton'
'1997-06-03', 1643, 'Alex', 'Pearson'
'1994-04-10', 1617, 'Sarah', 'Smith'
'1997-06-04', 1658, 'Ariel', 'Pearson'
'1997-06-07', 1795, 'Carl', 'Pearson'
'1997-06-08', 1797, 'Caitlyn', 'Pearson'
'1997-06-09', 1757, 'Dennis', 'Pearson'
'1996-08-02', 1793, 'Jennifer', 'Quentin'
'1989-01-03', 1839, 'Alex', 'Zimmerman'
'1997-07-02', 1838, 'Elaine', 'Pearson'
'1997-07-01', 1862, 'Earl', 'Pearson'
'1997-07-05', 1964, 'Gary', 'Pearson'
'1992-03-08', 1983, 'Marsella', 'Valadine'
'1997-07-06', 1958, 'Genevieve', 'Pearson'
'1995-06-09', 2083, 'Dennis', 'Remington'
'1994-02-01', 2036, 'Earl', 'Smith'
'1994-03-04', 2177, 'Kelly', 'Smith'
'1997-08-01', 2183, 'Jack', 'Pearson'
'1997-08-02', 2125, 'Jennifer', 'Pearson'
'1995-07-03', 2159, 'Francis', 'Remington'
'1997-08-05', 219, 'Lucas', 'Pearson'
'1997-08-06', 307, 'Lily', 'Pearson'
'1997-08-07', 487, 'Mark', 'Pearson'
'1997-08-08', 742, 'Marsella', 'Pearson'
'1996-03-10', 829, 'Nadine', 'Rockswell'
'1989-10-03', 806, 'Ulrich', 'Zane'
'1997-08-09', 946, 'Nick', 'Pearson'
'1993-03-05', 1018, 'Lucas', 'Tyrannis'
'1990-02-08', 1184, 'Holly', 'Yates'
'1997-09-01', 1466, 'Oren', 'Pearson'
'1997-09-02', 1484, 'Olivia', 'Pearson'
'1995-03-01', 1441, 'Jack', 'Randall'
'1997-09-03', 1605, 'Patrick', 'Pearson'
'1989-02-06', 1655, 'Genevieve', 'Zimmerman'
'1997-09-05', 1999, 'Randy', 'Pearson'
'1997-07-08', 2076, 'Holly', 'Pearson'
'1996-09-09', 2025, 'Stanley', 'Quentin'
'1992-04-09', 153, 'Stanley', 'Valadine'
'1997-09-07', 129, 'Ronald', 'Pearson'
'1997-09-09', 134, 'Stanley', 'Pearson'
'1997-09-10', 181, 'Sarah', 'Pearson'
'1990-05-05', 216, 'Victor', 'Yates'
'1996-01-01', 218, 'Aaron', 'Rockswell'
'1997-02-03', 205, 'Francis', 'Perry'
'1994-05-08', 211, 'Whitney', 'Smith'
'1991-03-07', 215, 'Mark', 'Williams'
'1997-02-04', 332, 'Fawn', 'Perry'
'1996-01-10', 499, 'Deidre', 'Rockswell'
'1997-10-02', 464, 'Tania', 'Pearson'
'1997-10-04', 585, 'Ulsana', 'Pearson'
'1995-07-09', 666, 'Ian', 'Remington'
'1994-04-03', 805, 'Patrick', 'Smith'
'1997-10-08', 814, 'Whitney', 'Pearson'
'1996-04-01', 851, 'Oren', 'Rockswell'
'1998-01-01', 945, 'Aaron', 'Overton'
'1993-02-02', 974, 'Elaine', 'Tyrannis'
'1997-10-10', 931, 'Zariah', 'Pearson'
'1996-10-08', 1067, 'Whitney', 'Quentin'
'1990-02-09', 1181, 'Ian', 'Yates'
'1995-08-07', 1119, 'Mark', 'Remington'
'1998-01-03', 1161, 'Alex', 'Overton'
'1998-01-04', 1205, 'Ariel', 'Overton'
'1989-04-01', 1259, 'Oren', 'Zimmerman'
'1990-05-09', 1365, 'Zachary', 'Yates'
'1993-06-01', 1331, 'Aaron', 'Tory'
'1998-01-05', 1324, 'Bryan', 'Overton'
'1998-01-07', 1354, 'Carl', 'Overton'
'1998-01-09', 1486, 'Dennis', 'Overton'
'1998-01-10', 1569, 'Deidre', 'Overton'
'1995-09-03', 1539, 'Patrick', 'Remington'
'1998-02-02', 1693, 'Elaine', 'Overton'
'1992-01-07', 1602, 'Carl', 'Valadine'
'1996-08-04', 1722, 'Kelly', 'Quentin'
'1997-09-04', 1752, 'Priscilla', 'Pearson'
'1997-07-04', 1891, 'Fawn', 'Pearson'
'1997-07-03', 1826, 'Francis', 'Pearson'
'1996-09-04', 1994, 'Priscilla', 'Quentin'
'1990-06-06', 1981, 'Brienne', 'Walton'
'1998-02-07', 1969, 'Horus', 'Overton'
'1998-02-09', 2039, 'Ian', 'Overton'
'1990-10-10', 2105, 'Zariah', 'Walton'
'1994-03-06', 2157, 'Lily', 'Smith'
'1994-03-02', 2128, 'Jennifer', 'Smith'
'1998-03-01', 308, 'Jack', 'Overton'
'1994-07-08', 521, 'Holly', 'Sortie'
'1998-03-03', 811, 'Kingston', 'Overton'
'1994-10-08', 989, 'Whitney', 'Sortie'
'1997-05-02', 1099, 'Tania', 'Perry'
'1996-06-05', 1468, 'Bryan', 'Quentin'
'1993-09-07', 1761, 'Ronald', 'Tory'
'1998-03-06', 1864, 'Lily', 'Overton'
'1995-06-01', 1901, 'Aaron', 'Remington'
'1994-03-01', 2024, 'Jack', 'Smith'
'1998-03-07', 2172, 'Mark', 'Overton'
'1991-01-05', 2144, 'Bryan', 'Williams'
'1994-05-06', 161, 'Valerie', 'Smith'
'1998-04-01', 123, 'Oren', 'Overton'
'1995-10-08', 285, 'Whitney', 'Remington'
'1996-01-04', 396, 'Ariel', 'Rockswell'
'1998-03-02', 426, 'Jennifer', 'Overton'
'1998-04-03', 442, 'Patrick', 'Overton'
'1996-02-09', 541, 'Ian', 'Rockswell'
'1994-09-07', 774, 'Ronald', 'Sortie'
'1996-03-03', 789, 'Kingston', 'Rockswell'
'1998-04-07', 785, 'Ronald', 'Overton'
'1995-08-01', 711, 'Jack', 'Remington'
'1997-10-06', 713, 'Valerie', 'Pearson'
'1998-04-08', 735, 'Rochelle', 'Overton'
'1989-02-10', 823, 'Isabelle', 'Zimmerman'
'1990-03-01', 822, 'Jack', 'Yates'
'1995-08-05', 943, 'Lucas', 'Remington'
'1993-03-01', 1039, 'Jack', 'Tyrannis'
'1991-08-04', 1047, 'Kelly', 'Xavier'
'1998-05-01', 1105, 'Timothy', 'Overton'
'1991-09-07', 1256, 'Ronald', 'Xavier'
'1989-06-06', 1252, 'Brienne', 'Zane'
'1990-01-03', 1135, 'Alex', 'Yates'
'1990-09-10', 1446, 'Sarah', 'Walton'
'1998-05-04', 1673, 'Ulsana', 'Overton'
'1998-05-05', 1645, 'Victor', 'Overton'
'1993-08-07', 1657, 'Mark', 'Tory'
'1995-04-01', 1698, 'Oren', 'Randall'
'1998-05-09', 1772, 'Zachary', 'Overton'
'1993-09-09', 1846, 'Stanley', 'Tory'
'1990-02-05', 1919, 'Gary', 'Yates'
'1998-06-01', 1906, 'Aaron', 'Oscar'
'1998-06-02', 1925, 'Alice', 'Oscar'
'1998-06-03', 1934, 'Alex', 'Oscar'
'1998-06-04', 2015, 'Ariel', 'Oscar'
'1996-02-05', 555, 'Gary', 'Rockswell'
'1998-06-05', 883, 'Bryan', 'Oscar'
'1993-02-09', 1024, 'Ian', 'Tyrannis'
'1998-06-07', 1449, 'Carl', 'Oscar'
'1998-03-04', 1445, 'Kelly', 'Overton'
'1992-05-06', 164, 'Valerie', 'Valadine'
'1997-02-01', 279, 'Earl', 'Perry'
'1994-04-01', 202, 'Oren', 'Smith'
'1998-07-01', 248, 'Earl', 'Oscar'
'1996-01-05', 317, 'Bryan', 'Rockswell'
'1997-02-10', 449, 'Isabelle', 'Perry'
'1990-05-07', 516, 'Winston', 'Yates'
'1992-10-07', 775, 'Winston', 'Ursa'
'1994-09-10', 842, 'Sarah', 'Sortie'
'1998-07-04', 1159, 'Fawn', 'Oscar'
'1993-04-07', 1273, 'Ronald', 'Tyrannis'
'1993-05-03', 1251, 'Ulrich', 'Tyrannis'
'1998-07-07', 1345, 'Horus', 'Oscar'
'1993-07-02', 1488, 'Elaine', 'Tory'
'1998-07-08', 1606, 'Holly', 'Oscar'
'1998-06-08', 1613, 'Caitlyn', 'Oscar'
'1998-07-10', 1727, 'Isabelle', 'Oscar'
'1998-08-02', 1799, 'Jennifer', 'Oscar'
'1994-01-10', 2021, 'Deidre', 'Smith'
'1998-08-03', 2049, 'Kingston', 'Oscar'
'1997-07-10', 2149, 'Isabelle', 'Pearson'
'1998-08-06', 929, 'Lily', 'Oscar'
'1996-10-06', 1012, 'Valerie', 'Quentin'
'1995-03-06', 1506, 'Lily', 'Randall'
'1997-09-06', 2169, 'Rachel', 'Pearson'
'1994-05-03', 146, 'Ulrich', 'Smith'
'1992-06-02', 361, 'Alice', 'Ursa'
'1998-08-09', 351, 'Nick', 'Oscar'
'1998-08-10', 418, 'Nadine', 'Oscar'
'1992-07-06', 466, 'Genevieve', 'Ursa'
'1998-09-01', 489, 'Oren', 'Oscar'
'1997-03-05', 406, 'Lucas', 'Perry'
'1998-04-04', 584, 'Priscilla', 'Overton'
'1992-08-03', 561, 'Kingston', 'Ursa'
'1997-10-05', 676, 'Victor', 'Pearson'
'1994-08-09', 667, 'Nick', 'Sortie'
'1992-09-06', 747, 'Rachel', 'Ursa'
'1998-04-06', 729, 'Rachel', 'Overton'
'1998-09-04', 794, 'Priscilla', 'Oscar'
'1998-09-06', 726, 'Rachel', 'Oscar'
'1998-09-07', 725, 'Ronald', 'Oscar'
'1998-09-08', 854, 'Rochelle', 'Oscar'
'1998-09-10', 803, 'Sarah', 'Oscar'
'1998-10-02', 861, 'Tania', 'Oscar'
'1998-10-03', 1009, 'Ulrich', 'Oscar'
'1991-08-08', 1134, 'Marsella', 'Xavier'
'1990-04-04', 1116, 'Priscilla', 'Yates'
'1998-10-05', 1125, 'Victor', 'Oscar'
'1998-07-06', 1209, 'Genevieve', 'Oscar'
'1995-08-09', 1322, 'Nick', 'Remington'
'1996-06-03', 1474, 'Alex', 'Quentin'
'1996-06-10', 1596, 'Deidre', 'Quentin'
'1998-10-08', 1587, 'Whitney', 'Oscar'
'1998-10-10', 1695, 'Zariah', 'Oscar'
'1999-01-01', 1678, 'Aaron', 'Nicholson'
'1989-04-03', 1787, 'Patrick', 'Zimmerman'
'1995-05-06', 1713, 'Valerie', 'Randall'
'1995-05-03', 1705, 'Ulrich', 'Randall'
'1999-01-03', 1715, 'Alex', 'Nicholson'
'1993-09-08', 1844, 'Rochelle', 'Tory'
'1993-10-08', 1979, 'Whitney', 'Tory'
'1999-01-05', 2042, 'Bryan', 'Nicholson'
'1999-01-06', 2005, 'Brienne', 'Nicholson'
'1995-06-05', 2044, 'Bryan', 'Remington'
'1997-07-07', 2054, 'Horus', 'Pearson'
'1998-02-08', 2069, 'Holly', 'Overton'
'1995-06-08', 2034, 'Caitlyn', 'Remington'
'1994-03-09', 2146, 'Nick', 'Smith'
'1995-07-05', 2161, 'Gary', 'Remington'
'1992-04-05', 2185, 'Randy', 'Valadine'
'1999-01-07', 2148, 'Carl', 'Nicholson'
'1999-01-09', 359, 'Dennis', 'Nicholson'
'1997-03-08', 778, 'Marsella', 'Perry'
'1993-02-03', 969, 'Francis', 'Tyrannis'
'1998-02-05', 1718, 'Gary', 'Overton'
'1995-10-05', 135, 'Victor', 'Remington'
'1995-07-06', 142, 'Genevieve', 'Remington'
'1994-06-06', 318, 'Brienne', 'Sortie'
'1998-08-08', 329, 'Marsella', 'Oscar'
'1999-02-04', 358, 'Fawn', 'Nicholson'
'1996-02-01', 412, 'Earl', 'Rockswell'
'1996-02-04', 429, 'Fawn', 'Rockswell'
'1994-04-02', 415, 'Olivia', 'Smith'
'1999-02-06', 511, 'Genevieve', 'Nicholson'
'1992-09-03', 659, 'Patrick', 'Ursa'
'1999-02-07', 1083, 'Horus', 'Nicholson'
'1996-05-03', 1137, 'Ulrich', 'Rockswell'
'1999-02-09', 1219, 'Ian', 'Nicholson'
'1998-06-06', 1346, 'Brienne', 'Oscar'
'1990-06-04', 1483, 'Ariel', 'Walton'
'1989-09-09', 1585, 'Stanley', 'Zane'
'1995-04-04', 1601, 'Priscilla', 'Randall'
'1995-04-03', 1618, 'Patrick', 'Randall'
'1998-08-01', 1767, 'Jack', 'Oscar'
'1998-06-09', 1709, 'Dennis', 'Oscar'
'1999-03-01', 1775, 'Jack', 'Nicholson'
'1995-05-04', 1776, 'Ulsana', 'Randall'
'1996-09-05', 1907, 'Randy', 'Quentin'
'1999-03-02', 1989, 'Jennifer', 'Nicholson'
'1989-08-02', 1905, 'Jennifer', 'Zane'
'1992-03-06', 1961, 'Lily', 'Valadine'
'1999-03-04', 2097, 'Kelly', 'Nicholson'
'1994-04-08', 2013, 'Rochelle', 'Smith'
'1999-03-05', 2196, 'Lucas', 'Nicholson'
'1999-01-08', 195, 'Caitlyn', 'Nicholson'
'1995-10-10', 291, 'Zariah', 'Remington'
'1999-03-06', 327, 'Lily', 'Nicholson'
'1999-03-07', 627, 'Mark', 'Nicholson'
'1997-04-08', 833, 'Rochelle', 'Perry'
'1990-08-01', 966, 'Jack', 'Walton'
'1996-10-05', 984, 'Victor', 'Quentin'
'1991-01-03', 1163, 'Alex', 'Williams'
'1999-03-10', 1416, 'Nadine', 'Nicholson'
'1993-06-09', 1495, 'Dennis', 'Tory'
'1999-04-01', 1496, 'Oren', 'Nicholson'
'1995-03-10', 1562, 'Nadine', 'Randall'
'1996-07-06', 1502, 'Genevieve', 'Quentin'
'1999-04-04', 1586, 'Priscilla', 'Nicholson'
'1993-08-09', 1667, 'Nick', 'Tory'
'1999-04-05', 1768, 'Randy', 'Nicholson'
'1999-01-02', 1749, 'Alice', 'Nicholson'
'1999-04-06', 1903, 'Rachel', 'Nicholson'
'1995-05-10', 1924, 'Zariah', 'Randall'
'1998-02-10', 2035, 'Isabelle', 'Overton'
'1999-01-04', 2064, 'Ariel', 'Nicholson'
'1999-04-07', 2147, 'Ronald', 'Nicholson'
'1998-03-08', 2103, 'Marsella', 'Overton'
'1999-04-09', 1951, 'Stanley', 'Nicholson'
'1999-04-10', 1455, 'Sarah', 'Nicholson'
'1998-06-10', 165, 'Deidre', 'Oscar'
'1997-01-08', 128, 'Caitlyn', 'Perry'
'1996-10-01', 399, 'Timothy', 'Quentin'
'1997-03-02', 463, 'Jennifer', 'Perry'
'1999-05-01', 528, 'Timothy', 'Nicholson'
'1999-05-02', 615, 'Tania', 'Nicholson'
'1998-09-02', 642, 'Olivia', 'Oscar'
'1999-05-03', 755, 'Ulrich', 'Nicholson'
'1997-03-10', 705, 'Nadine', 'Perry'
'1998-09-05', 777, 'Randy', 'Oscar'
'1998-09-09', 807, 'Stanley', 'Oscar'
'1999-05-04', 812, 'Ulsana', 'Nicholson'
'1991-07-07', 905, 'Horus', 'Xavier'
'1999-05-06', 1068, 'Valerie', 'Nicholson'
'1996-04-07', 1019, 'Ronald', 'Rockswell'
'1989-02-04', 1171, 'Fawn', 'Zimmerman'
'1999-05-08', 1174, 'Whitney', 'Nicholson'
'1999-05-09', 1326, 'Zachary', 'Nicholson'
'1990-07-07', 1307, 'Horus', 'Walton'
'1989-10-01', 1341, 'Timothy', 'Zane'
'1999-05-10', 1426, 'Zariah', 'Nicholson'
'1999-06-02', 1664, 'Alice', 'Nedry'
'1999-06-03', 1763, 'Alex', 'Nedry'
'1995-09-05', 1777, 'Randy', 'Remington'
'1998-07-09', 1792, 'Ian', 'Oscar'
'1996-08-08', 1831, 'Marsella', 'Quentin'
'1990-10-01', 1972, 'Timothy', 'Walton'
'1994-01-06', 1955, 'Brienne', 'Smith'
'1989-09-07', 337, 'Ronald', 'Zane'
'1999-06-04', 714, 'Ariel', 'Nedry'
'1997-05-01', 1097, 'Timothy', 'Perry'
'1996-07-02', 1547, 'Elaine', 'Quentin'
'1995-07-08', 525, 'Holly', 'Remington'
'1999-06-05', 1661, 'Bryan', 'Nedry'
'1995-10-07', 289, 'Winston', 'Remington'
'1994-07-07', 421, 'Horus', 'Sortie'
'1999-06-07', 462, 'Carl', 'Nedry'
'1994-07-10', 501, 'Isabelle', 'Sortie'
'1999-06-08', 523, 'Caitlyn', 'Nedry'
'1994-09-01', 626, 'Oren', 'Sortie'
'1999-06-10', 767, 'Deidre', 'Nedry'
'1991-07-03', 808, 'Francis', 'Xavier'
'1998-10-01', 834, 'Timothy', 'Oscar'
'1996-04-08', 1088, 'Rochelle', 'Rockswell'
'1998-04-10', 1006, 'Sarah', 'Overton'
'1999-02-08', 1117, 'Holly', 'Nicholson'
'1998-10-07', 1465, 'Winston', 'Oscar'
'1998-02-01', 1588, 'Earl', 'Overton'
'1995-04-06', 1637, 'Rachel', 'Randall'
'1998-05-08', 1766, 'Whitney', 'Overton'
'1990-07-09', 1716, 'Ian', 'Walton'
'1998-05-07', 1779, 'Winston', 'Overton'
'1999-07-04', 1707, 'Fawn', 'Nedry'
'1993-10-09', 1935, 'Zachary', 'Tory'
'1996-09-07', 2088, 'Ronald', 'Quentin'
'1999-07-05', 2137, 'Gary', 'Nedry'
'1989-10-09', 2133, 'Zachary', 'Zane'
'1992-05-01', 119, 'Timothy', 'Valadine'
'1997-02-07', 341, 'Horus', 'Perry'
'1999-03-08', 994, 'Marsella', 'Nicholson'
'1999-07-06', 1508, 'Genevieve', 'Nedry'
'1992-01-08', 1656, 'Caitlyn', 'Valadine'
'1999-07-07', 1732, 'Horus', 'Nedry'
'1999-02-05', 414, 'Gary', 'Nicholson'
'1998-04-02', 271, 'Olivia', 'Overton'
'1999-07-08', 471, 'Holly', 'Nedry'
'1991-04-09', 532, 'Stanley', 'Williams'
'1992-09-01', 656, 'Oren', 'Ursa'
'1999-03-09', 1176, 'Nick', 'Nicholson'
'1991-08-10', 1178, 'Nadine', 'Xavier'
'1999-07-09', 1327, 'Ian', 'Nedry'
'1995-02-02', 1342, 'Elaine', 'Randall'
'1996-07-08', 1512, 'Holly', 'Quentin'
'1998-02-03', 1615, 'Francis', 'Overton'
'1999-08-02', 1699, 'Jennifer', 'Nedry'
'1999-08-03', 1717, 'Kingston', 'Nedry'
'1999-08-05', 1703, 'Lucas', 'Nedry'
'1991-03-08', 328, 'Marsella', 'Williams'
'1998-04-09', 963, 'Stanley', 'Overton'
'1998-10-04', 1146, 'Ulsana', 'Oscar'
'1998-07-05', 1235, 'Gary', 'Oscar'
'1993-08-05', 1567, 'Lucas', 'Tory'
'1998-05-10', 1911, 'Zariah', 'Overton'
'1999-08-06', 124, 'Lily', 'Nedry'
'1999-08-08', 408, 'Marsella', 'Nedry'
'1999-01-10', 825, 'Deidre', 'Nicholson'
'1999-08-09', 843, 'Nick', 'Nedry'
'1989-10-05', 1004, 'Victor', 'Zane'
'1997-08-10', 1173, 'Nadine', 'Pearson'
'1998-10-06', 1414, 'Valerie', 'Oscar'
'1996-08-03', 1751, 'Kingston', 'Quentin'
'1999-09-01', 1945, 'Oren', 'Nedry'
'1999-03-03', 1931, 'Kingston', 'Nicholson'
'1997-07-09', 2002, 'Ian', 'Pearson'
'1999-09-02', 733, 'Olivia', 'Nedry'
'1998-03-10', 174, 'Nadine', 'Overton'
'1996-02-07', 531, 'Horus', 'Rockswell'
'1992-10-08', 736, 'Whitney', 'Ursa'
'1997-10-09', 819, 'Zachary', 'Pearson'
'1991-07-05', 899, 'Gary', 'Xavier'
'1994-10-04', 955, 'Ulsana', 'Sortie'
'1999-09-05', 1411, 'Randy', 'Nedry'
'1998-03-05', 1509, 'Lucas', 'Overton'
'1998-02-04', 1743, 'Fawn', 'Overton'
'1995-10-04', 2145, 'Ulsana', 'Remington'
'1999-07-02', 818, 'Elaine', 'Nedry'
'1998-07-03', 1169, 'Francis', 'Oscar'
'1997-09-08', 131, 'Rochelle', 'Pearson'
'1998-07-02', 402, 'Elaine', 'Oscar'
'1992-08-07', 503, 'Mark', 'Ursa'
'1994-10-03', 838, 'Ulrich', 'Sortie'
'1997-01-02', 1541, 'Alice', 'Perry'
'1995-03-03', 1566, 'Kingston', 'Randall'
'1999-04-08', 2197, 'Rochelle', 'Nicholson'
'1997-10-03', 467, 'Ulrich', 'Pearson'
'1999-10-02', 1634, 'Tania', 'Nedry'
'1995-04-09', 1708, 'Stanley', 'Randall'
'1997-08-03', 2104, 'Kingston', 'Pearson'
'1997-08-04', 122, 'Kelly', 'Pearson'
'1999-06-06', 411, 'Brienne', 'Nedry'
'1999-06-09', 629, 'Dennis', 'Nedry'
'1999-10-04', 826, 'Ulsana', 'Nedry'
'1991-02-09', 112, 'Ian', 'Williams'
'1999-10-05', 1175, 'Victor', 'Nedry'
'1998-01-06', 1391, 'Brienne', 'Overton'
'1999-09-03', 1682, 'Patrick', 'Nedry'
'1995-10-01', 1993, 'Timothy', 'Remington'
'1999-10-08', 809, 'Whitney', 'Nedry'
'1999-09-10', 343, 'Sarah', 'Nedry'
'1999-07-01', 739, 'Earl', 'Nedry'
'1999-06-01', 1403, 'Aaron', 'Nedry'
'1999-10-10', 1565, 'Zariah', 'Nedry'
'2000-01-04', 2101, 'Ariel', 'Martin'
'1997-03-04', 401, 'Kelly', 'Perry'
'2000-01-06', 581, 'Brienne', 'Martin'
'1998-08-05', 621, 'Lucas', 'Oscar'
'1999-02-01', 802, 'Earl', 'Nicholson'
'1995-01-01', 1049, 'Aaron', 'Randall'
'1999-08-01', 1669, 'Jack', 'Nedry'
'1998-05-06', 1638, 'Valerie', 'Overton'
'2000-01-03', 1952, 'Alex', 'Martin'
'2000-01-08', 2162, 'Caitlyn', 'Martin'
'1998-08-04', 2118, 'Kelly', 'Oscar'
'2000-01-10', 413, 'Deidre', 'Martin'
'1999-07-03', 1473, 'Francis', 'Nedry'
'1997-06-06', 1608, 'Brienne', 'Pearson'
'1997-06-05', 1659, 'Bryan', 'Pearson'
'1990-10-03', 2111, 'Ulrich', 'Walton'
'1997-10-01', 241, 'Timothy', 'Pearson'
'2000-02-05', 559, 'Gary', 'Martin'
'2000-02-06', 1157, 'Genevieve', 'Martin'
'1996-06-06', 1456, 'Brienne', 'Quentin'
'1998-01-08', 1472, 'Caitlyn', 'Overton'
